Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Volume,Exit_Volume,PnL_Points,PnL_Pct
2015-03-30,2015-03-31,8492.3,8491.0,138880000000.0,172360000000.0,-1.3,-0.02
2015-04-01,2015-04-16,8586.25,8652.437806919643,125500.0,147270000000.0,66.19,0.77
2015-05-04,2015-05-05,8331.9501953125,8324.8,131700.0,160340000000.0,-7.15,-0.09
2015-05-08,2015-05-11,8191.5,8325.25,183100.0,197880000000.0,133.75,1.63
2015-05-15,2015-05-26,8262.35,8339.35,133840000000.0,120430000000.0,77.0,0.93
2015-05-29,2015-06-02,8433.65,8305.7,375230000000.0,151340000000.0,-127.95,-1.52
2015-06-10,2015-06-11,8124.45,8023.8,141030000000.0,171350000000.0,-100.65,-1.24
2015-06-15,2015-06-16,8013.9,8047.3,137120000000.0,127810000000.0,33.4,0.42
2015-06-17,2015-06-29,8091.55,8245.93363420759,157210000000.0,132000.0,154.38,1.91
2015-06-30,2015-07-08,8368.5,8388.260915178573,163370000000.0,188100.0,19.76,0.24
2015-07-13,2015-07-27,8459.650390625,8490.930990513392,117800.0,140830000000.0,31.28,0.37
2015-07-30,2015-08-11,8421.7998046875,8461.75482421875,215200.0,159190000000.0,39.96,0.47
2015-08-14,2015-08-18,8518.5498046875,8466.55,155900.0,157990000000.0,-52.0,-0.61
2015-08-28,2015-08-31,8001.95,7961.65,201570000000.0,198200.0,-40.3,-0.5
2015-09-09,2015-09-10,7818.60009765625,7764.5498046875,208400.0,165310000000.0,-54.05,-0.69
2015-09-14,2015-09-15,7872.25,7829.1,126630000000.0,140720000000.0,-43.15,-0.55
2015-09-16,2015-09-22,7899.14990234375,7853.2998046875,140000.0,168400.0,-45.85,-0.58
2015-09-30,2015-10-28,7948.9,8202.174386160714,217190000000.0,194710000000.0,253.27,3.19
2015-11-16,2015-11-17,7806.60009765625,7837.55,149500.0,149450000000.0,30.95,0.4
2015-11-20,2015-11-23,7856.55,7849.25,156610000000.0,130870000000.0,-7.3,-0.09
2015-11-26,2015-12-03,7883.7998046875,7864.15,219800.0,129630000000.0,-19.65,-0.25
2015-12-15,2015-12-16,7700.89990234375,7750.9,134300.0,159150000000.0,50.0,0.65
2015-12-17,2015-12-18,7844.35009765625,7761.95,175900.0,197320000000.0,-82.4,-1.05
2015-12-23,2016-01-04,7865.95,7832.689924665179,121480000000.0,138870000000.0,-33.26,-0.42
2016-01-22,2016-01-25,7422.45,7436.15,236280000000.0,168200000000.0,13.7,0.18
2016-01-29,2016-02-02,7563.55,7455.5498046875,307930000000.0,230200.0,-108.0,-1.43
2016-02-05,2016-02-08,7489.1,7406.65,257519999999.99997,171500.0,-82.45,-1.1
2016-02-15,2016-02-16,7162.95,7056.8,365220000000.0,253800.0,-106.15,-1.48
2016-02-18,2016-02-19,7191.75,7210.75,254330000000.0,192300.0,19.0,0.26
2016-02-22,2016-02-23,7234.55,7200.7,159160000000.0,200400000000.0,-33.85,-0.47
2016-03-01,2016-04-05,7222.3,7608.843521205357,283560000000.0,210130000000.0,386.54,5.35
2016-04-11,2016-04-29,7671.4,7825.461403459822,185350000000.0,251230000000.0,154.06,2.01
2016-05-09,2016-05-19,7866.0498046875,7777.155185546875,160600.0,175710000000.0,-88.89,-1.13
2016-05-25,2016-06-13,7934.9,8147.626416015625,181640000000.0,174920000000.0,212.73,2.68
2016-06-15,2016-06-16,8206.6,8123.15,174950000000.0,195030000000.0,-83.45,-1.02
2016-06-20,2016-06-24,8238.5,8129.675012555804,168600.0,306800000000.0,-108.82,-1.32
2016-06-28,2016-08-03,8127.85,8573.715594308036,175720000000.0,168030000000.0,445.87,5.49
2016-08-05,2016-08-10,8683.150390625,8590.150390625,157900.0,178960000000.0,-93.0,-1.07
2016-08-12,2016-08-16,8672.15,8604.45,272010000000.0,231770000000.0,-67.7,-0.78
2016-08-18,2016-08-22,8673.25,8645.05,169430000000.0,156980000000.0,-28.2,-0.33
2016-08-24,2016-08-25,8650.2998046875,8620.900390625,149600.0,219740000000.0,-29.4,-0.34
2016-08-30,2016-09-12,8744.35,8831.925984933036,154830000000.0,190200000000.0,87.58,1.0
2016-09-15,2016-09-26,8742.5498046875,8748.340499441963,145400.0,164000.0,5.79,0.07
2016-10-03,2016-10-06,8738.1,8709.5498046875,141470000000.0,163600.0,-28.55,-0.33
2016-10-18,2016-10-19,8677.900390625,8659.1,216600.0,177400000000.0,-18.8,-0.22
2016-10-20,2016-10-21,8699.4,8678.3,165950000000.0,157300.0,-21.1,-0.24
2016-10-28,2016-10-30,8638.0,8625.7,180910000000.0,166110000000.0,-12.3,-0.14
2016-11-08,2016-11-09,8543.55,8480.1,201760000000.0,314300.0,-63.45,-0.74
2016-11-10,2016-11-11,8525.75,8510.7,271200000000.0,275220000000.0,-15.05,-0.18
2016-11-23,2016-11-24,8033.3,7973.1,186600000000.0,268620000000.0,-60.2,-0.75
2016-11-25,2016-11-28,8114.3,8126.9,183360000000.0,195590000000.0,12.6,0.16
2016-11-30,2016-12-01,8224.5,8192.9,248000.0,162600000000.0,-31.6,-0.38
2016-12-06,2016-12-07,8143.15,8130.85,118850000000.0,169800.0,-12.3,-0.15
2016-12-08,2016-12-12,8246.85,8170.8,146860000000.0,111430000000.0,-76.05,-0.92
2016-12-27,2016-12-28,8032.85,8034.85,122460000000.0,130580000000.00002,2.0,0.02
2016-12-29,2017-01-20,8103.6,8346.775689174106,183980000000.0,208900000000.0,243.18,3.0
2017-01-24,2017-02-01,8475.8,8578.303646763392,184750000000.0,337800000000.0,102.5,1.21
2017-02-02,2017-03-03,8734.25,8864.346227678572,292330000000.0,208920000000.0,130.1,1.49
2017-03-06,2017-03-08,8963.4501953125,8914.0,174800.0,177800.0,-49.45,-0.55
2017-03-14,2017-03-21,9087.0,9089.635764508928,278730000000.0,247700.0,2.64,0.03
2017-03-23,2017-03-27,9086.3,9048.6,197710000000.0,202700.0,-37.7,-0.41
2017-03-28,2017-04-12,9100.8,9163.142142857143,188990000000.0,166750000000.0,62.34,0.69
2017-04-20,2017-04-21,9136.400390625,9102.650390625,170300.0,155200.0,-33.75,-0.37
2017-04-24,2017-05-18,9217.95,9423.056902901786,172910000000.0,193300.0,205.11,2.23
2017-05-25,2017-06-14,9509.75,9598.664361049106,289200.0,187380000000.0,88.91,0.93
2017-06-19,2017-06-21,9657.5498046875,9614.900390625,141700.0,148490000000.0,-42.65,-0.44
2017-07-03,2017-07-10,9615.0,9648.725390625,188690000000.0,37500.0,33.73,0.35
2017-07-11,2017-07-18,9786.05,9806.899285714288,185320000000.0,303010000000.0,20.85,0.21
2017-07-19,2017-07-21,9899.6,9851.65,206380000000.0,193290000000.0,-47.95,-0.48
2017-07-24,2017-07-28,9966.400390625,9984.009285714286,174500.0,191600.0,17.61,0.18
2017-07-31,2017-08-03,10077.1,10016.95,245100000000.0,198670000000.0,-60.15,-0.6
2017-08-14,2017-08-16,9794.15,9897.3,201610000000.0,226270000000.0,103.15,1.05
2017-08-17,2017-08-18,9904.15,9883.75,203650000000.0,253930000000.0,-20.4,-0.21
2017-08-23,2017-08-24,9852.5,9857.05,173820000000.0,190400000000.0,4.55,0.05
2017-08-28,2017-08-29,9912.8,9882.0,164490000000.0,178670000000.0,-30.8,-0.31
2017-08-31,2017-09-22,9917.9,10052.230119977678,337780000000.0,233620000000.0,134.33,1.35
2017-10-03,2017-10-04,9859.5,9914.9,167830000000.0,160990000000.0,55.4,0.56
2017-10-06,2017-11-07,9979.7001953125,10360.354773995536,195800.0,295830000000.0,380.65,3.81
2017-11-16,2017-11-30,10214.75,10271.284260602677,188180000000.0,353100000000.0,56.53,0.55
2017-12-07,2017-12-12,10166.7,10240.150390625,171340000000.0,175100.0,73.45,0.72
2017-12-15,2017-12-18,10333.25,10319.650390625,255100.0,230400.0,-13.6,-0.13
2017-12-19,2018-01-02,10463.2,10406.0,174340000000.0,153400.0,-57.2,-0.55
2018-01-04,2018-01-31,10504.7998046875,11008.681897321429,174900.0,253460000000.0,503.88,4.8
2018-02-12,2018-02-14,10539.75,10485.4,224110000000.0,236330000000.0,-54.35,-0.52
2018-02-23,2018-02-27,10491.0498046875,10554.3,210600.0,193250000000.0,63.25,0.6
2018-03-12,2018-03-14,10421.4,10410.9,223140000000.0,186990000000.0,-10.5,-0.1
2018-03-26,2018-03-27,10130.650390625,10184.150390625,262600.0,225700.0,53.5,0.53
2018-04-02,2018-04-04,10211.8,10127.75,232430000000.0,231100.0,-84.05,-0.82
2018-04-05,2018-05-04,10325.15,10638.464475446428,244120000000.0,186500.0,313.31,3.03
2018-05-07,2018-05-16,10715.5,10772.458716517856,173620000000.0,238220000000.0,56.96,0.53
2018-05-25,2018-05-30,10605.15,10614.35,268910000000.00003,246120000000.0,9.2,0.09
2018-05-31,2018-06-04,10736.150390625,10620.400390625,610300.0,203800.0,-115.75,-1.08
2018-06-06,2018-06-19,10684.65,10728.7493359375,195760000000.0,231380000000.0,44.1,0.41
2018-06-22,2018-06-27,10821.849609375,10710.4501953125,229800.0,246000.0,-111.4,-1.03
2018-06-29,2018-07-02,10714.3,10612.35,250330000000.0,295400.0,-101.95,-0.95
2018-07-04,2018-08-02,10769.9,11244.409436383929,179270000000.0,216530000000.0,474.51,4.41
2018-08-03,2018-08-13,11360.7998046875,11356.818646763393,218300.0,254470000000.0,-3.98,-0.04
2018-08-14,2018-08-16,11435.1,11370.8,239840000000.0,290600.0,-64.3,-0.56
2018-08-17,2018-09-03,11470.75,11618.250739397321,234700.0,241730000000.0,147.5,1.29
2018-09-07,2018-09-10,11589.1,11484.4,305030000000.0,286700.0,-104.7,-0.9
2018-09-14,2018-09-17,11515.2,11430.55,285220000000.0,207620000000.0,-84.65,-0.74
2018-10-10,2018-10-11,10460.1,10318.25,373840000000.0,483500.0,-141.85,-1.36
2018-10-12,2018-10-15,10472.5,10512.5,343500.0,259500.0,40.0,0.38
2018-10-16,2018-10-17,10584.75,10525.3,273440000000.0,284800.0,-59.45,-0.56
2018-10-24,2018-10-25,10224.75,10126.7,362270000000.0,522419999999.99994,-98.05,-0.96
2018-10-29,2018-10-30,10250.85,10198.400390625,375750000000.0,289800.0,-52.45,-0.51
2018-10-31,2018-11-01,10386.599609375,10380.45,375000.0,359340000000.0,-6.15,-0.06
2018-11-02,2018-11-13,10553.0,10457.7001953125,421200.0,262540000000.00003,-95.3,-0.9
2018-11-16,2018-11-21,10682.2,10631.15,353380000000.0,300900.0,-51.05,-0.48
2018-11-27,2018-12-05,10685.6,10753.65908482143,382830000000.0,312300.0,68.06,0.64
2018-12-12,2018-12-21,10737.6,10760.214135044642,371700000000.0,389240000000.0,22.61,0.21
2018-12-27,2019-01-02,10779.8,10764.45,470160000000.0,309670000000.0,-15.35,-0.14
2019-01-07,2019-01-08,10771.7998046875,10750.150390625,269400.0,277700.0,-21.65,-0.2
2019-01-09,2019-01-11,10855.15,10749.4,333010000000.0,260790000000.00003,-105.75,-0.97
2019-01-15,2019-01-23,10886.7998046875,10831.5,310700.0,298880000000.0,-55.3,-0.51
2019-01-31,2019-02-11,10830.9501953125,10898.789285714287,604800.0,285990000000.0,67.84,0.63
2019-02-20,2019-02-21,10735.45,10789.85,289190000000.0,279580000000.0,54.4,0.51
2019-02-25,2019-02-26,10880.1,10788.05,385910000000.0,415000.0,-92.05,-0.85
2019-03-05,2019-03-25,10987.45,11387.933546316965,373220000000.0,294460000000.0,400.48,3.64
2019-03-26,2019-04-04,11483.25,11560.287268415179,282580000000.0,349030000000.0,77.04,0.67
2019-04-05,2019-04-08,11665.95,11609.5,266670000000.00003,260930000000.0,-56.45,-0.48
2019-04-12,2019-04-22,11643.4501953125,11677.089037388394,246000.0,260360000000.0,33.64,0.29
2019-04-24,2019-05-06,11726.15,11602.285613839285,335200000000.0,299050000000.0,-123.86,-1.06
2019-05-17,2019-05-23,11407.150390625,11700.487533482143,412100.0,569000.0,293.34,2.57
2019-05-30,2019-05-31,11945.9,11859.4,421200000000.0,438880000000.0,-86.5,-0.72
2019-06-03,2019-06-06,12088.55,11920.1,315300000000.0,415210000000.0,-168.45,-1.39
2019-06-10,2019-06-12,11922.7,11871.75,303330000000.0,283700.0,-50.95,-0.43
2019-06-20,2019-06-21,11831.75,11724.1,442020000000.0,468430000000.0,-107.65,-0.91
2019-06-25,2019-06-28,11796.45,11788.85,300480000000.0,303890000000.0,-7.6,-0.06
2019-07-02,2019-07-05,11910.3,11814.7,363200000000.0,530700.0,-95.6,-0.8
2019-07-16,2019-07-17,11662.6,11687.5,480160000000.0,464830000000.0,24.9,0.21
2019-08-06,2019-08-07,10948.25,10855.5,517890000000.0,548500.0,-92.75,-0.85
2019-08-08,2019-08-09,11032.4501953125,11109.650390625,482500.0,538100.0,77.2,0.7
2019-08-26,2019-08-28,11057.849609375,11046.099609375,684100.0,550000.0,-11.75,-0.11
2019-08-30,2019-09-03,11023.25,10874.8,628150000000.0,483040000000.0,-148.45,-1.35
2019-09-06,2019-09-12,10946.2,10982.8,497210000000.0,551440000000.0,36.6,0.33
2019-10-09,2019-10-10,11313.2998046875,11234.5498046875,741100.0,562000.0,-78.75,-0.7
2019-10-11,2019-11-13,11305.0498046875,11826.982731584822,737800.0,659040000000.0,521.93,4.62
2019-11-20,2019-11-21,11999.1,11966.05,646660000000.0,557690000000.0,-33.05,-0.28
2019-11-25,2019-12-03,12073.75,11982.239285714286,534300.0,605800.0,-91.51,-0.76
2019-12-12,2019-12-26,11971.8,12122.694361049107,752620000000.0,520300.0,150.89,1.26
2019-12-27,2019-12-31,12245.8,12157.9,383790000000.0,426930000000.0,-87.9,-0.72
2020-01-02,2020-01-03,12282.2,12195.25,407700000000.0,428770000000.0,-86.95,-0.71
2020-01-09,2020-01-21,12215.9,12216.081303013392,477470000000.0,443980000000.0,0.18,0.0
2020-01-24,2020-01-27,12248.25,12149.650390625,593200.0,441160000000.0,-98.6,-0.81
2020-02-04,2020-02-10,11979.65,12031.5,560430000000.0,524710000000.00006,51.85,0.43
2020-02-11,2020-02-14,12107.9,12099.0,479980000000.0,622780000000.0,-8.9,-0.07
2020-02-19,2020-02-20,12125.900390625,12080.85,513600.0,502600000000.0,-45.05,-0.37
2020-03-26,2020-03-27,8641.45,8660.25,865590000000.0,801500.0,18.8,0.22
2020-03-31,2020-04-01,8597.75,8358.0,712660000000.0,506300.0,-239.75,-2.79
2020-04-22,2020-05-04,9187.2998046875,9429.638521205356,734400.0,687490000000.0,242.34,2.64
2020-05-13,2020-05-14,9383.5498046875,9351.099609375,846400.0,602560000000.0,-32.45,-0.35
2020-05-20,2020-05-21,9066.5498046875,9106.25,622300.0,631540000000.0,39.7,0.44
2020-05-27,2020-06-11,9314.9501953125,9961.479974888392,763500.0,715450000000.0,646.53,6.94
